id_task,id_user,arrived_del_loc_at,id_telemetry,latitude,longitude,accuracy_radius,android_activity,android_activity_confidence,telemetry_time
60534612,82905,2025-03-16 22:33:43.000000 UTC,102571655,252030226,552819270,5.196,IN_VEHICLE,95.0,2025-03-16 22:33:43.000000 UTC
60534841,99436,2025-03-16 22:27:20.000000 UTC,102511822,251802366,552659017,1.5,STILL,32.0,2025-03-16 22:27:18.000000 UTC
60532335,61545,2025-03-16 21:49:41.000000 UTC,102143446,251907408,552653387,28.926,WALKING,96.0,2025-03-16 21:49:42.000000 UTC
60529269,10793,2025-03-16 20:59:50.000000 UTC,101612043,251094651,552493063,3.79,STILL,100.0,2025-03-16 20:59:41.000000 UTC
60530783,78856,2025-03-16 21:43:25.000000 UTC,102078527,251921384,552620933,3.283,WALKING,96.0,2025-03-16 21:43:24.000000 UTC
60529617,63316,2025-03-16 21:24:47.000000 UTC,101884600,251721783,553019333,1.183,IN_VEHICLE,95.0,2025-03-16 21:24:47.000000 UTC
60528921,99403,2025-03-16 21:15:56.000000 UTC,101788205,251911276,552831105,3.948,IN_VEHICLE,98.0,2025-03-16 21:15:45.000000 UTC
60531781,49167,2025-03-16 21:42:08.000000 UTC,102062946,252094740,552730810,1.7,TILTING,100.0,2025-03-16 21:41:53.000000 UTC
60525916,92258,2025-03-16 20:33:13.000000 UTC,101307748,251713844,553067853,2.697,STILL,40.0,2025-03-16 20:33:13.000000 UTC
60525466,77073,2025-03-16 20:30:27.000000 UTC,101277312,252114004,552762052,5.968,WALKING,93.0,2025-03-16 20:30:38.000000 UTC
60526682,95780,2025-03-16 20:31:13.000000 UTC,101283119,252091089,552725223,25.868,IN_VEHICLE,96.0,2025-03-16 20:31:08.000000 UTC
60526833,99216,2025-03-16 20:30:48.000000 UTC,101279190,251772152,552740627,64.1,TILTING,100.0,2025-03-16 20:30:48.000000 UTC
60526388,91974,2025-03-16 20:44:24.000000 UTC,101437441,251741286,553002797,2.6,ON_BICYCLE,96.0,2025-03-16 20:44:22.000000 UTC
60525751,90558,2025-03-16 20:32:44.000000 UTC,101301932,251921417,552620567,2.016,TILTING,100.0,2025-03-16 20:32:42.000000 UTC
60526600,83513,2025-03-16 20:31:12.000000 UTC,101286876,251713528,553023524,2.15,UNKNOWN,40.0,2025-03-16 20:31:27.000000 UTC
60526256,61503,2025-03-16 20:30:28.000000 UTC,101275553,251720494,553037012,1.36,STILL,99.0,2025-03-16 20:30:29.000000 UTC
60438740,60884,2025-03-16 00:55:23.000000 UTC,88276398,252113917,552761467,0.9,UNKNOWN,40.0,2025-03-16 00:55:19.000000 UTC
60438857,23940,2025-03-16 01:05:15.000000 UTC,88335842,252068598,552890048,23.942,STILL,53.0,2025-03-16 01:05:18.000000 UTC
60439060,91659,2025-03-16 01:39:09.000000 UTC,88526497,251885399,552616476,1.366,IN_VEHICLE,95.0,2025-03-16 01:39:02.000000 UTC
60439252,83839,2025-03-16 02:16:49.000000 UTC,88728059,251947533,552655850,11.555,WALKING,89.0,2025-03-16 02:16:50.000000 UTC
60439162,94705,2025-03-16 02:16:49.000000 UTC,88727504,251811136,552791813,4.2,TILTING,100.0,2025-03-16 02:16:44.000000 UTC
60439208,8451,2025-03-16 02:24:07.000000 UTC,88761727,251129326,552465464,15.072,IN_VEHICLE,96.0,2025-03-16 02:23:52.000000 UTC
60439360,72652,2025-03-16 02:58:46.000000 UTC,88918331,251731167,553053300,1.033,UNKNOWN,40.0,2025-03-16 02:58:43.000000 UTC
60439409,93506,2025-03-16 03:16:33.000000 UTC,88993836,252070480,552707744,1.683,IN_VEHICLE,87.0,2025-03-16 03:16:23.000000 UTC
60439442,76495,2025-03-16 03:20:36.000000 UTC,89011363,251809315,552795093,29.785,UNKNOWN,40.0,2025-03-16 03:20:34.000000 UTC
60439436,91884,2025-03-16 03:24:11.000000 UTC,89026514,251913003,552702203,29.971,UNKNOWN,40.0,2025-03-16 03:24:09.000000 UTC
60439483,69928,2025-03-16 03:34:53.000000 UTC,89071809,252068750,552707067,1.15,IN_VEHICLE,94.0,2025-03-16 03:34:45.000000 UTC
60439532,94340,2025-03-16 03:41:14.000000 UTC,89100029,252093032,552746183,2.533,UNKNOWN,40.0,2025-03-16 03:41:14.000000 UTC
